nu_cm^-1,lambda_nm,k_cm^-1,sigma_cm2_per_molecule
10752.559545,930.0111250860318,2.7873579405934466e-23,1.0938350559281004e-42
10752.549545,930.011990007529,2.787641172970554e-23,1.0939462040151624e-42
10752.539545,930.012854930635,2.787924421258265e-23,1.0940573583459778e-42
10752.529545,930.0137198553497,2.7882076854476394e-23,1.0941685189170384e-42
10752.519545,930.0145847816732,2.788490965529724e-23,1.0942796857248308e-42
10752.509544999999,930.0154497096055,2.788774261495561e-23,1.0943908587658393e-42
10752.499545,930.0163146391465,2.789057573336151e-23,1.094502038036533e-42
10752.489545,930.0171795702964,2.789340901042626e-23,1.0946132235334312e-42
10752.479545,930.0180445030551,2.7896242446059633e-23,1.0947244152529934e-42
10752.469545,930.0189094374226,2.7899076040171784e-23,1.0948356131916938e-42
10752.459545,930.019774373399,2.7901909792672936e-23,1.0949468173460093e-42
10752.449545,930.0206393109842,2.790474370347333e-23,1.0950580277124175e-42
10752.439545,930.021504250178,2.7907577772482874e-23,1.0951692442873832e-42
10752.429544999999,930.022369190981,2.791041199961178e-23,1.0952804670673825e-42
10752.419544999999,930.0232341333925,2.791324638476978e-23,1.0953916960488733e-42
10752.409545,930.0240990774129,2.791608092786643e-23,1.095502931228306e-42
10752.399545,930.0249640230421,2.79189156288126e-23,1.0956141726021833e-42
10752.389545,930.0258289702803,2.7921750487517434e-23,1.0957254201669395e-42
10752.379545,930.0266939191273,2.7924585503890816e-23,1.0958366739190384e-42
10752.369545,930.0275588695831,2.7927420677842454e-23,1.0959479338549365e-42
10752.359545,930.0284238216478,2.793025600928184e-23,1.0960591999710822e-42
10752.349545,930.0292887753214,2.793309149811867e-23,1.0961704722639315e-42
10752.339544999999,930.0301537306038,2.793592714426238e-23,1.0962817507299308e-42
10752.329545,930.031018687495,2.7938762947622124e-23,1.0963930353655146e-42
10752.319545,930.0318836459952,2.794159890810808e-23,1.0965043261671582e-42
10752.309545,930.0327486061042,2.7944435025629195e-23,1.0966156231312886e-42
10752.299545,930.0336135678222,2.79472713000948e-23,1.0967269262543475e-42
10752.289545,930.034478531149,2.7950107731414095e-23,1.0968382355327718e-42
10752.279545,930.0353434960847,2.795294431949638e-23,1.0969495509630023e-42
10752.269545,930.0362084626294,2.795578106425062e-23,1.0970608725414663e-42
10752.259544999999,930.0370734307828,2.795861796558603e-23,1.097172200264601e-42
10752.249545,930.0379384005452,2.796145502341109e-23,1.0972835341288152e-42
10752.239545,930.0388033719165,2.7964292237635816e-23,1.0973948741305776e-42
10752.229545,930.0396683448968,2.796712960816856e-23,1.0975062202662918e-42
10752.219545,930.0405333194859,2.7969967134918227e-23,1.097617572532383e-42
10752.209545,930.041398295684,2.797280481779354e-23,1.0977289309252689e-42
10752.199545,930.042263273491,2.7975642656703435e-23,1.0978402954413762e-42
10752.189545,930.043128252907,2.7978480651556417e-23,1.0979516660771142e-42
10752.179544999999,930.0439932339319,2.798131880226124e-23,1.0980630428289025e-42
10752.169544999999,930.0448582165658,2.7984157108726484e-23,1.0981744256931531e-42
10752.159545,930.0457232008083,2.7986995570860064e-23,1.0982858146662525e-42
10752.149545,930.0465881866601,2.798983418857156e-23,1.0983972097446526e-42
10752.139545,930.0474531741208,2.79926729617689e-23,1.0985086109247399e-42
10752.129545,930.0483181631904,2.799551189036042e-23,1.0986200182029175e-42
10752.119545,930.0491831538691,2.7998350974254333e-23,1.0987314315755833e-42
10752.109545,930.0500481461567,2.800119021335916e-23,1.0988428510391472e-42
10752.099545,930.0509131400532,2.8004029607582786e-23,1.098954276589995e-42
10752.089544999999,930.0517781355587,2.8006869156833525e-23,1.0990657082245282e-42
10752.079545,930.0526431326731,2.800970886101894e-23,1.0991771459391194e-42
10752.069545,930.0535081313966,2.8012548720048204e-23,1.0992885897302042e-42
10752.059545,930.0543731317291,2.801538873382852e-23,1.0994000395941412e-42
10752.049545,930.0552381336706,2.8018228902267887e-23,1.09951149552732e-42
10752.039545,930.0561031372212,2.8021069225274276e-23,1.099622957526129e-42
10752.029545,930.0569681423807,2.8023909702755486e-23,1.0997344255869501e-42
10752.019545,930.0578331491491,2.802675033461931e-23,1.0998458997061646e-42
10752.009544999999,930.0586981575267,2.8029591120773245e-23,1.099957379880143e-42
10751.999545,930.059563167513,2.8032432061124575e-23,1.1000688661052463e-42
10751.989545,930.0604281791086,2.803527315558185e-23,1.100180358377886e-42
10751.979545,930.0612931923132,2.803811440405222e-23,1.1002918566944184e-42
10751.969545,930.0621582071269,2.804095580644295e-23,1.1004033610512042e-42
10751.959545,930.0630232235495,2.804379736266171e-23,1.1005148714446203e-42
10751.949545,930.0638882415813,2.804663907261575e-23,1.1006263878710269e-42
10751.939545,930.064753261222,2.804948093621234e-23,1.1007379103267849e-42
10751.929544999999,930.0656182824719,2.805232295335874e-23,1.1008494388082548e-42
10751.919544999999,930.0664833053306,2.8055165123962243e-23,1.1009609733117992e-42
10751.909545,930.0673483297984,2.805800744792933e-23,1.1010725138337474e-42
10751.899545,930.0682133558754,2.806084992516817e-23,1.1011840603704962e-42
10751.889545,930.0690783835614,2.806369255558548e-23,1.1012956129183846e-42
10751.879545,930.0699434128566,2.8066535339088027e-23,1.1014071714737539e-42
10751.869545,930.0708084437608,2.806937827558277e-23,1.1015187360329533e-42
10751.859545,930.0716734762741,2.80722213649766e-23,1.1016303065923283e-42
10751.849545,930.0725385103964,2.807506460717632e-23,1.1017418831482222e-42
10751.839544999999,930.0734035461279,2.807790800208867e-23,1.101853465696975e-42
10751.829545,930.0742685834683,2.808075154961978e-23,1.1019650542349028e-42
10751.819545,930.075133622418,2.8083595249677554e-23,1.1020766487583919e-42
10751.809545,930.0759986629766,2.808643910216784e-23,1.102188249263747e-42
10751.799545,930.0768637051445,2.808928310699724e-23,1.1022998557473036e-42
10751.789545,930.0777287489216,2.809212726407213e-23,1.102411468205387e-42
10751.779545,930.0785937943076,2.809497157329921e-23,1.1025230866343361e-42
10751.769545,930.0794588413029,2.8097816034584556e-23,1.1026347110304651e-42
10751.759544999999,930.0803238899072,2.8100660647834607e-23,1.1027463413901024e-42
10751.749545,930.0811889401205,2.810350541295506e-23,1.1028579777095474e-42
10751.739545,930.0820539919431,2.810635032985324e-23,1.102969619985163e-42
10751.729545,930.0829190453749,2.8109195398434537e-23,1.1030812682132366e-42
10751.719545,930.0837841004158,2.811204061860541e-23,1.1031929223900974e-42
10751.709545,930.0846491570658,2.8114885990271503e-23,1.1033045825120426e-42
10751.699545,930.085514215325,2.811773151333899e-23,1.1034162485753902e-42
10751.689545,930.0863792751933,2.812057718771375e-23,1.1035279205764467e-42
10751.679544999999,930.0872443366708,2.812342301330177e-23,1.1036395985115229e-42
10751.669544999999,930.0881093997575,2.812626899000868e-23,1.1037512823769151e-42
10751.659545,930.0889744644533,2.812911511773983e-23,1.1038629721689093e-42
10751.649545,930.0898395307582,2.8131961396401907e-23,1.1039746678838434e-42
10751.639545,930.0907045986725,2.8134807825899986e-23,1.1040863695179925e-42
10751.629545,930.0915696681958,2.813765440613979e-23,1.1041980770676567e-42
10751.619545,930.0924347393284,2.814050113702664e-23,1.104309790529121e-42
10751.609545,930.0932998120702,2.814334801846615e-23,1.1044215098986806e-42
10751.599545,930.0941648864211,2.814619505036361e-23,1.1045332351726196e-42
10751.589544999999,930.0950299623813,2.814904223262454e-23,1.10464496634723e-42
10751.579545,930.0958950399506,2.8151889565153723e-23,1.1047567034187753e-42
10751.569545,930.0967601191292,2.815473704785724e-23,1.10486844638357e-42
10751.559545,930.0976251999169,2.815758468064002e-23,1.104980195237883e-42
10751.549545,930.0984902823141,2.8160432463407095e-23,1.1050919499779874e-42
10751.539545,930.0993553663203,2.816328039606358e-23,1.1052037106001601e-42
10751.529545,930.1002204519358,2.8166128478514196e-23,1.1053154771006618e-42
10751.519545,930.1010855391605,2.816897671066429e-23,1.1054272494757781e-42
10751.509544999999,930.1019506279945,2.817182509241873e-23,1.1055390277217759e-42
10751.499545,930.1028157184375,2.817467362368172e-23,1.1056508118348955e-42
10751.489545,930.1036808104899,2.8177522304359033e-23,1.1057626018114396e-42
10751.479545,930.1045459041517,2.818037113435518e-23,1.1058743976476608e-42
10751.469545,930.1054109994226,2.8183220113574526e-23,1.1059861993398062e-42
10751.459545,930.1062760963028,2.8186069241921953e-23,1.106098006884143e-42
10751.449545,930.1071411947923,2.8188918519301816e-23,1.106209820276918e-42
10751.439545,930.1080062948911,2.819176794561883e-23,1.1063216395143915e-42
10751.429544999999,930.108871396599,2.819461752077731e-23,1.106433464592809e-42
10751.419544999999,930.1097364999164,2.819746724468182e-23,1.1065452955084255e-42
10751.409545,930.1106016048428,2.820031711723602e-23,1.1066571322574597e-42
10751.399545,930.1114667113787,2.8203167138345255e-23,1.1067689748361978e-42
10751.389545,930.1123318195239,2.820601730791339e-23,1.1068808232408668e-42
10751.379545,930.1131969292784,2.820886762584454e-23,1.1069926774677037e-42
10751.369545,930.1140620406421,2.8211718092042665e-23,1.1071045375129401e-42
10751.359545,930.1149271536152,2.821456870641208e-23,1.1072164033728209e-42
10751.349545,930.1157922681977,2.821741946885658e-23,1.1073282750435706e-42
10751.339544999999,930.1166573843893,2.822027037928037e-23,1.10744015252143e-42
10751.329545,930.1175225021901,2.822312143758668e-23,1.1075520358026016e-42
10751.319545,930.1183876216005,2.82259726436803e-23,1.1076639248833496e-42
10751.309545,930.1192527426202,2.822882399746467e-23,1.1077758197598839e-42
10751.299545,930.1201178652492,2.8231675498843335e-23,1.1078877204284197e-42
10751.289545,930.1209829894875,2.823452714772021e-23,1.1079996268851863e-42
10751.279545,930.1218481153352,2.82373789439987e-23,1.1081115391263934e-42
10751.269545,930.1227132427923,2.824023088758251e-23,1.1082234571482616e-42
10751.259544999999,930.1235783718587,2.824308297837514e-23,1.1083353809470042e-42
10751.249545,930.1244435025343,2.824593521627927e-23,1.1084473105188023e-42
10751.239545,930.1253086348194,2.824878760119952e-23,1.1085592458599127e-42
10751.229545,930.1261737687138,2.8251640133038895e-23,1.1086711869665291e-42
10751.219545,930.1270389042177,2.825449281170036e-23,1.1087831338348434e-42
10751.209545,930.1279040413308,2.825734563708727e-23,1.1088950864610635e-42
10751.199545,930.1287691800534,2.826019860910276e-23,1.1090070448413875e-42
10751.189545,930.1296343203854,2.826305172764996e-23,1.1091190089720145e-42
10751.179544999999,930.1304994623267,2.8265904992631904e-23,1.109230978849139e-42
10751.169544999999,930.1313646058775,2.826875840395175e-23,1.1093429544689607e-42
10751.159545,930.1322297510375,2.8271611961511697e-23,1.1094549358276417e-42
10751.149545,930.133094897807,2.827446566521561e-23,1.1095669229214093e-42
